Entrada,paginas,Gall,Port,Fr,Val,Cat,Prov,Cast,Mall,Vasc,Lat,Rum,Alb,It
AÁXBÓRA,1,None,None,None,None,None,None,None,None,None,None,None,None,None
ABÁTH,1,None,abbade,abbé,None,None,abbát,abbat,None,abade,abbas,None,None,None
ABÉRTH,1,aberto,aberto,ouvert,obert,obert,aperto,abierto,None,None,apertus,None,None,y
ABÓBRA,1,ggr,abobara,None,None,None,None,None,None,None,ó,None,None,None
ABOBRÉLLA,1,None,None,None,None,None,None,None,None,None,None,None,None,None
ABOBRTÉLLA,2,None,None,None,None,None,None,None,None,None,None,None,None,None
ABRÉCANO,2,None,None,None,None,None,None,None,None,None,None,None,None,None
ABRÍL,2,None,Abril,A,April,None,Abril,None,None,None,Aprilis,April,P,Aprile
ABRÓTHANO,2,None,é,aürone,None,broida,None,None,None,None,Gr,None,None,abrótano
ABÚCH,2,None,abrótea,None,None,None,None,None,None,None,albucus,None,None,None
ABZINTHÓN,2,None,None,None,None,None,None,None,None,None,None,None,None,None
ACEBÚCHE,2,None,None,None,None,None,None,None,None,None,None,None,None,None
ACIPRÉS,2,None,None,None,None,None,None,None,None,None,None,None,None,None
ACITRÓN,2,None,None,None,None,None,None,None,None,None,None,None,None,None
ACÓLITHO,2,None,acólito,None,None,None,None,acólito,None,None,Gr,None,None,accolito
ACRIÓLEX,2,None,None,None,None,None,None,None,None,None,None,None,None,None
ÁCUA,3,None,None,None,None,None,None,None,None,None,None,None,None,None
AGUGHA,3,None,agulha,alguille,águila,águila,agulha,aguja,None,None,acuculla,a,None,None
AGUGHÉLLA,3,None,agulheta,aiguillette,agu,agu,agulheta,aguja,None,None,acucella,None,None,None
AGUD,3,None,agudo,None,acút,a,a,agudo,None,None,acutus,None,None,acuto
ACHÉLLO,4,None,None,None,None,None,None,None,None,None,None,None,None,None
ACHETHÁIRA,4,acéda,azéda,None,None,None,None,acedera,None,None,acetosa,None,None,None
ACHETHIÉLLA,4,aceda,azedinha,None,None,None,None,acederilla,None,None,acetus,None,None,acetosella
ACHICÓRIA,4,chicoria,chicoria,chicorée,gicória,xicóira,cicóri,achicória,None,None,Gr,cicoare,None,cicorea
ADÓTE,4,None,é,None,dot,None,dot,None,None,dótea,dos,None,None,None
AFRÁNCHA,4,None,None,Francia,None,None,F,Francia,None,None,Francia,None,None,None
AFRÁQ,5,None,None,None,None,None,None,None,None,None,None,None,None,None
AGALLA,5,None,None,None,None,None,None,None,None,None,None,None,None,None
AGÁRICO,5,None,é,agaric,None,agárich,agaric,g,None,None,Gr,None,None,None
AGATHA,5,None,None,None,None,None,None,None,None,None,None,None,None,None
AGÓCH,5,None,é,Aoút,Agoch,Agost,Aoust,None,None,None,Augustus,None,None,None
AGUA,5,agoa,agua,None,aigua,aygua,aigua,agua,None,None,None,apa,None,None
AGUAPÍ,5,None,agoapé,None,None,None,None,aguapié,None,None,pes,None,None,None
AGÚCH,5,None,None,None,None,None,None,None,None,None,None,None,None,None
ÁGUILA,5,águia,águia,aigle,á,None,None,á,None,None,aquila,None,None,aquila
AGUXTO,5,None,é,august,august,august,august,None,None,None,augustus,None,None,augusto
ÁLA,5,None,ala,aile,None,ala,None,None,None,None,ála,None,None,None
ALÁMA,6,None,alamar,lame,None,None,é,lama,None,None,lámina,alama,None,lámina
ALAMEDA,6,None,None,None,None,None,None,None,None,None,None,None,None,None
ALAMPADA,6,None,é,lampe,None,None,lampa,lámpara,None,None,Gr,lampa,None,lampade
ALATÓN,6,None,None,None,None,None,None,None,None,None,None,None,None,None
ALBA,6,None,alva,auhe,y,None,auba,None,None,alba,alha,None,None,None
ALBÁNO,6,None,espinheiro,aubépine,None,ars,None,None,None,None,spina,None,None,spina
ALBÁRCA,6,None,None,None,larga,None,None,pr,None,None,None,None,None,None
ALBO,7,None,alvo,None,None,None,alba,albo,None,None,albus,alb,None,None
ALCHÍNA,10,None,None,None,None,None,None,None,None,None,None,None,None,None
ALECHXÁR,10,eirá,eirá,aire,None,era,aira,era,None,None,área,None,None,None
ALIGUSTRE,11,None,é,eissir,eixido,exir,y,aligustre,None,None,ligustrum,None,None,ligustro
ALMORÍ,14,None,None,None,None,None,None,almuérdago,None,None,mordax,None,None,None
AMAIRÓX,15,None,None,None,None,None,None,None,None,None,None,None,None,None
AMANTE,15,None,é,aimant,amant,None,amant,None,None,None,amans,None,None,None
AMARA,15,None,None,None,None,None,None,None,None,None,None,None,None,None
AMÁRICA,15,None,None,None,None,None,None,centaura,None,None,amaricus,None,None,None
AMARO,15,None,é,amer,amarg,amarch,amar,amargo,None,None,ama,amar,None,amaro
AMASSADÓR,16,None,amassador,None,None,None,None,amasador,None,None,massa,None,None,ama
AMÉNCA,16,None,None,None,None,melga,None,áfaca,None,None,medica,None,None,None
AMILÓN,16,None,amiddo,amidón,almidó,amidó,None,AL,None,amirun,Gr,None,None,amido
AMINC,16,None,None,None,None,None,None,None,None,None,amignus,None,None,None
AMÍRO,16,None,None,None,None,None,None,None,None,None,de,None,None,None
AMIRÓN,16,None,ALMEiRAO,None,None,None,None,ALMIRÓN,None,None,está,None,None,None
AMOISTIÁCD,17,None,é,ammoniac,amoniach,amoniach,None,amoniaco,None,None,Gr,None,None,None
ANAPELO,17,None,None,None,None,None,None,None,None,None,None,None,None,None
ANÁTHEMA,17,lagos,None,anatheme,y,llagas,é,langosta,None,None,Gr,None,None,anatema
ANÉLTO,17,é,anetho,aneth,None,anet,aneth,eneldo,None,None,y,None,None,aneto
ANFILIÁTHO,17,afiliado,afilhado,affilié,afillat,afillat,afilhat,ahijado,None,None,affiliatus,None,None,None
ANIFEXÁRIO,17,None,é,anniversaire,aniversari,None,aniversari,aniversario,None,None,anniversarius,None,None,anniversario
ANTHÍFONA,17,None,é,anüenne,None,None,None,None,None,None,Gr,None,None,None
ÁNTOLA,18,None,anthora,antoré,None,None,None,autora,None,None,None,None,None,None
ANÚXA,18,None,None,None,None,None,None,None,None,None,de,None,None,None
ANXÉNSIO,18,axenxo,absinthio,absinthe,None,None,eichens,ajenjo,None,asensio,None,None,None,None
APIO,18,apeo,áipo,ache,None,apit,api,apio,None,None,apium,None,None,None
APOCALIPXÍN,18,None,Apocalypse,Apocalypse,None,None,None,None,None,None,Gr,None,None,Apoca
APÓRIO,18,None,None,None,None,None,None,None,None,None,appodium,None,None,None
APRÍL,19,None,None,None,None,None,None,None,None,None,None,None,None,None
AQUÍLEY,19,aguillon,aguilháo,aigui,agulld,agulld,None,aguijón,None,aculuá,agulhoy,None,None,aguglione
ARA,19,None,None,None,None,None,None,None,None,None,a,None,None,None
ARACHOQUÍL,19,None,None,None,None,None,None,None,None,None,None,None,None,None
ARÁDANI,19,None,arando,airelle,None,None,adrest,arándano,None,None,ater,None,None,None
ARÁMEN,19,aramio,aráme,araim,None,None,ar,alambre,None,None,aramen,arama,None,ráme
ARANYÓN,19,None,None,None,aranyoner,a,None,pr,None,aran,None,None,None,None
ARBÁNSO,20,garabanzo,ervango,None,None,None,None,garbanzo,None,g,None,None,None,None
ARCEDIÁCUNO,20,None,None,None,None,y,None,pr,None,larra,acer,None,None,None
ÁRCHA,21,None,j,None,harser,bardisa,None,zarza,None,lartza,None,None,None,None
ARCHEDIÁCON,21,arcediago,arcediano,None,None,None,None,archi,None,None,None,None,None,None
